company_name,tagline,company_url,logo_url,location,founded_year,funding_amount,investors,investor_count,team_members,team_count,description
Sonetix AI,Grow revenue. Cut headcount. Let AI handle the calls.,https://www.f6s.com/company/sonetix-ai,https://www.f6s.com/content-resource/profiles/6123027_5324669fe4072700f52de1acec9053646d40ea4e_th2.jpg,"Astana, Kazakhstan",2025,,,,Dias,1,"Sonetix AI is an AI-powered voice automation platform that replaces traditional call centers. It handles inbound and outbound calls, qualifies leads in real time, integrates with CRMs, and helps businesses reduce costs while improving conversion rates."
Sports24.kz,"Sports Events, Sports, News, Football, Boxing, Tennis, Basketball, Hockey,",https://www.f6s.com/company/sports24.kz,https://www.f6s.com/content-resource/profiles/6058789_85b5d47b98ba97b28828181bfe9deff20e143723_th2.jpg,"Almaty, Kazakhstan",2025,,,,Sergey,1,"Sports24.kz is a popular Kazakhstani sports portal covering the latest news, analysis, and events from the world of sports. The portal features a wide range of information on international and local sports competitions, including football championships, boxing, hockey, tennis, basketball, and other sports. The website is aimed at an audience interested in sports at both professional and amateur levels."
Dark Phoenix Games,The future unicorn of mobile gaming,https://www.f6s.com/company/dark-phoenix-games,https://www.f6s.com/content-resource/profiles/3787620_th2.jpg,"Astana, Kazakhstan",2024,,Vladislav Vinogradov,1,Vladislav,1,We work according to the Blue Ocean strategy: create a new market that will live by our rules. What you shouldn't expect from us:- investment failure- deadlines missed- empty bureaucracy- incompetent employees- work for work's sake- happy second place- superficial conclusions We know how to do everything else.
Digital Downloads App: Byte Box,"Digital Downloads App helps to deliver PDF, ebooks, and more to customers",https://www.f6s.com/company/digital-downloads-app-byte-box,https://www.f6s.com/content-resource/profiles/6326567_f05643a8abc42399731ee2496ed101a8709a75d9_th2.jpg,"Almaty, Kazakhstan",2025,,,,Andrew,1,"Shopify Digital Downloads App automates delivery of digital purchases so your customers receive their files immediately and reliably. Replace manual follow-ups and fragile shared links with a dependable, branded download experience that scales as your store grows. What it does- Sends a polished download email after each completed order, reducing manual work.- Hosts your files securely and serves them through a temporary download page.- Lets you manage large files without juggling external cloud services. Key features- Dependable email routing: Emails are sent via a delivery-optimized pi..."
READY!,We are a practical book service,https://www.f6s.com/company/ready1,https://www.f6s.com/content-resource/profiles/3331397_th2.jpg,"Astana, Kazakhstan",2023,,,,Rassul,1,We are a practical book service. Our goal is to help bring knowledge to life.
Bai.kz,Service for comparison and selection of banking services.,https://www.f6s.com/company/bai.kz,https://www.f6s.com/content-resource/profiles/3025889_th2.jpg,"Almaty, Kazakhstan",,,Activat,1,,0,Online comparison platform for banking/financial products and services
Parqour,End-to-end parking management solution based on license plate recognition,https://www.f6s.com/company/parqour,https://www.f6s.com/content-resource/profiles/2895350_th2.jpg,"Almaty, Kazakhstan",2020,,,,"Aidana, Ильяс",2,"Parqour is an intelligent car parking management solution based on number plate recognition technologies. Our License Plate Recognition technologies are designed to capture the license plates of vehicles with an accuracy level of 99,6%. This level of accuracy allows creating a seamless, contactless, and comfortable parking experience by excluding tickets, cards, remote controls, and any human involvement. That also brings considerable optimisation of operational costs.Moreover, car park owners can boost revenue from each space by using features like dynamic pricing, VIP zoning, and detection..."
Aspans,Vendor of easy to build and modify automation software,https://www.f6s.com/company/aspans,https://www.f6s.com/content-resource/profiles/2467630_th2.jpg,"Astana, Kazakhstan",2017,,,,Erjan,1,"ASPANS helps to reduce risks of Health Safety and Environment on industrial sites. Admissions to perform work, faults of equipment, discrepancy from accepted rules, not finished work by subcontractors that may lead to injuries, dangerous behaviour of employees on the territory of industrial site, all these facts can be fixed by mobile phone apps by any including not indifferent to their work employees. Frequent checks, instant actions, and real time reporting and built-in Operational Intelligence Analytics lets business make sure that people are doing what they’re supposed to do to keep safety..."
Azura Vending,"Creation of a new trading platform, based on vending, production of vending",https://www.f6s.com/company/azura-vending,https://www.f6s.com/content-resource/profiles/3762302_th2.jpg,"Astana, Kazakhstan",2023,,,,Askhat,1,"Our project involves the production of self-developed vending machines and software. Our goal is to create a new tool for trade through vending machines. We are developing an ecosystem that will provide a new perspective on the vending business and enhance instant sales. Our ecosystem will also allow the integration of vending machines from other manufacturers, enabling the business to scale much faster."
RETEV,Wind power applications in electric vehicle charging stations,https://www.f6s.com/company/retev,https://www.f6s.com/content-resource/profiles/2909787_th2.jpg,"Qostanay, Kazakhstan",2019,,,,Канат,1,"The goal of the project is to reduce losses, increase the efficiency and environmental friendliness of charging electric vehicles with the introduction of wind energy into the charging cycle, as optimal for our region. In the Republic, the most polluted cities are: Almaty, Ust-Kamenogorsk, Karaganda, Temirtau, Shymkent. According to the physical map of Kazakhstan, the wind speed in January for North and Central Kazakhstan is 4-6 m / s, for South Kazakhstan 2-4 m / s, in the summer in the north 2-3 m / s, in the South 1-2 m / s. There are gusts of wind up to 8-10 m / s. There are large losses i..."
EcoWasteAqtau,,https://www.f6s.com/company/ecowasteaqtau1,https://www.f6s.com/content-resource/profiles/2352931_th2.jpg,"Aktau, Kazakhstan",2017,,,,"Жан, Eco",2,Re-use of the oil & gas industries waste (polyethylene) and also ather recycle
Retina project,The Retina project is an early online diagnosis of diabetic retinopathy,https://www.f6s.com/company/retinaproject,https://www.f6s.com/content-resource/profiles/2320997_th2.jpg,"Almaty, Kazakhstan",2019,,,,Adele,1,"The Retina project is an early online diagnosis of diabetic retinopathy using a portable ophthalmoscope. Problem:Diabetic retinopathy (DR) is a leading cause of vision-loss globally in adults aged 20–74 years.In most developing countries, patients diagnosed with diabetes often suffer from complications such as diabetic retinopathy, which local doctors cannot diagnose due to lack of qualifications, which leads to a complete loss of vision among patients. Solution:We will equip nurses with portable professional ophthalmoscopes with an included AI diagnostic system that will help medical wor..."
TeenTechEd,Educational company for kids and teens aiming to build sustainable future,https://www.f6s.com/company/teenteched,https://www.f6s.com/content-resource/profiles/3276669_th2.jpg,"Almaty, Kazakhstan",2021,,,,Botagoz,1,
Skidki.Live,A system for monitoring prices for all types of goods in all large stores,https://www.f6s.com/company/skidki.live,https://www.f6s.com/content-resource/profiles/3776186_th2.jpg,"Astana, Kazakhstan",2021,,,,Azamat,1,"Skidki.Live is a price monitoring system for all types of products in all major online stores in Kazakhstan. We scan online stores around the clock to identify significant price drops, create a price history for the product, and then send notifications to our users. Based on the received data, users make decisions about purchasing the product. The project operates on the Telegram messenger. Our users are active online shoppers who want to buy products at advantageous prices."
24Goals,Social platform where users can share their daily schedules for 24 hours,https://www.f6s.com/company/24goals,https://www.f6s.com/content-resource/profiles/2767532_th2.jpg,"Almaty, Kazakhstan",2020,,,,Yerkezhan,1,"24Goals is a new social platform where users can plan, share their daily schedule for 24 hours, inspire and be inspired by others, set reactions, subscribe, find like-minded people and a mentor, and develop networking through an internal messenger. Core functions:1. Become a masterat achieving goals.By choosing only 3 spheres for 30 days, without loss of energy you will achieve as many goals as others achieve for a YEAR.2. Get the most of benefits.If you need constant support or control, you can share goals with a mentor and friendsor follow others with the help of the messenger funct..."
Twinreality AI,text-2-video AI service for filmmakers,https://www.f6s.com/company/twinreality-ai,https://www.f6s.com/content-resource/profiles/3714543_th2.jpg,"Almaty, Kazakhstan",2023,$2k,Yevgeniy Samoilenko,4,"Stanislav, Yevgeniy",2,"Twinreality AI is a cloud-based service for creating videos from text using AI. We help save time and money when creating video content.In addition, the service allows the creation of movie teasers, game cinematics, and content for social networks.Our product combines two technologies: generative AI and the Unreal game engine. The AI generates instructions for the engine, creating sketches, character models, environmental details, and visual effects based on the input text. The UE then assembles these components into a final video.The development process can be divided into two parts: worki..."
IceCore.ai,AI-platform that turns customer conversations into growth,https://www.f6s.com/company/icecore.ai,https://www.f6s.com/content-resource/profiles/6160503_9767ca51684cad8e40645018bf21b463bec0bbd0_th2.jpg,"Astana, Kazakhstan",2025,,,,"Aisulu, Samat",2,"IceCore.ai is an AI-powered SaaS that collects and analyzes 100% of customer messages across all channels, turning them into actionable insights that boost retention and revenue.Founded in 2025, we’ve built an MVP, integrated Telegram and emails, and are adding new channels. Selected from 485+ startups for Central Asia+ Accelerator (Top 14 in the region) and pitched at TechCrunch Road to Battlefield."
Porte Tech,Digital concierge that reduces hotel operations and upsells services,https://www.f6s.com/company/porte-tech,https://www.f6s.com/content-resource/profiles/3464087_th2.jpg,"Almaty, Kazakhstan",,,,,Aidana,1,
Lancaster Group,,https://www.f6s.com/company/lancaster-group,https://www.f6s.com/content-resource/profiles/3838129_th2.jpg,"Almaty, Kazakhstan",,,,,,0,
iGPS Tech,Track assets using Satellite communication,https://www.f6s.com/company/igps-tech,https://www.f6s.com/content-resource/profiles/5694445_15e9053663106321ddc2bc54fb2026f2f33eea83_th2.jpg,"Astana, Kazakhstan",2017,,,,"Magzhan, Miras",2,"iGPS Tech is a comprehensive platform designed to provide asset management through cutting-edge satellite tracking technology. Its primary goal is to simplify monitoring processes, especially in remote areas where traditional cellular networks are unavailable. By offering reliable and user-friendly tools, iGPS Tech addresses the critical needs of farmers, herders, and agricultural businesses. Core Features and ServicesSatellite GPS Tracking:iGps Tech provides GPS devices that connect via satellites, enabling precise location tracking in areas without cellular coverage. These devices are ava..."
Zarbo,"3D models, 360 photo, virtual placement of goods in the interior for e-com",https://www.f6s.com/company/zarbotech,https://www.f6s.com/content-resource/profiles/3594891_th2.jpg,"Pavlodar, Kazakhstan",2022,,,,Aleksandr,1,"Provide the most awesome Zarbo 3D model management service.Create 3D models of real-world objects from photos and drawings.Create graphic content for the product card (360 photos, videos, photo renderings, etc.)Develop private software solutions for business needs."
Kenes AI,AI-powered business assistant,https://www.f6s.com/company/kenes-ai,https://www.f6s.com/content-resource/profiles/3733672_th2.jpg,"Almaty, Kazakhstan",2024,,,,Yersain,1,"We are building an Retail Analytics tool, that not just build dashboards, but also"
Computers and phones with built-in TVs,Watch TV at the touch of a button!,https://www.f6s.com/company/computers-and-phones-with-built-in-tvs,https://www.f6s.com/content-resource/profiles/3170095_th2.jpg,"Astana, Kazakhstan",2014,$100k,Murat Aibassov,3,Murat,1,"At the heart of our innovation is the integration of TV tuners directlyinto the motherboard of computers and smartphones, revolutionizing the way users consume TV content on their devices. This innovation is rooted in the growing demand for converged devices that offer multiplefunctions in a single package and the need for a modern TV viewingexperience. This innovation has important benefits.First, it addresses a clear market gap where users currently require separate devices and peripherals or software applications to watch TV, leading to clutter and increased costs; our solution integrat..."
Zakazbuketov,Wholesale and retail sale of flowers with delivery,https://www.f6s.com/company/zakazbuketov,https://www.f6s.com/content-resource/profiles/3025803_th2.jpg,"Almaty, Kazakhstan",2014,,Activat,1,,0,"The company specializes in the wholesale and retail sale of flowers with delivery both to your home and office throughout Kazakhstan. At the moment, we are a large company that owns an online store and has a single call center in its network that regulates all the activities of the store, a sales department, a delivery service, a wide staff of qualified florist consultants, and our own warehouse with a constant availability of freshly delivered flowers from Kazakhstan, Holland, Latin America, India and Africa. © https://zakazbuketov.kz/about/ ZakazBuketov.KZ"
UFO. Flying Saucers Startup.,"In the future, we will do interplanetary travels!",https://www.f6s.com/company/ufo.-flying-saucers-startup,https://www.f6s.com/content-resource/profiles/3141008_th2.jpg,"Astana, Kazakhstan",2014,,Murat Aibassov,2,Murat,1,"Isaac Newton said: ""Give me a sea of mercury and I will turn it into gold."" From time immemorial, magical and mystical properties were attributed to mercury, actively used in alchemy and medicine, and even unleashed wars. Throughout world history, mercury has also been associated with the Philosopher's Stone. I am primarily interested in the unique anti-gravity properties of mercury. It is known that mercury has the ability to interact with a magnetic field in such a way that the rotating mechanism of the engine starts to rotate rapidly on its own from contact with this substance. Th..."
Defect AI,Agentic Healthcare Revenue Cycle Management Platform,https://www.f6s.com/company/defect,https://www.f6s.com/content-resource/profiles/5810955_a88c765ba917fc018c707d72a704db245ebb6279_th2.jpg,"Almaty, Kazakhstan",2024,,,,"Kuanysh, Zharaskhan",2,We build AI engine to solve claim denials problem
SmartPIM.ai copywriter for e-commerce,SmartPIM.ai - is an AI-copywriter creating best-selling product pages,https://www.f6s.com/company/smartpim.ai,https://www.f6s.com/content-resource/profiles/2811895_th2.jpg,"Astana, Kazakhstan",2022,$15k,Alexey Shangin,1,Alexey,1,"SmartPIM.ai - is an AI-copywriter creating best-selling product page for marketplace merchants. Generates SEO-optimized product title and description maximizing page views. Enriches product details to fit wide-range categories. Learns on the best in category product pages discovering AI-powered ""sales boosting receipt"". Finally, lets you sell more with the best product pages."
Elin,Task Manager like Google Docs with Trello capacity,https://www.f6s.com/company/elin.app,https://www.f6s.com/content-resource/profiles/2771949_th2.jpg,"Almaty, Kazakhstan",2020,,Anton Kim,1,"Евгений, Igor",2,
Lin.kz - Multiple links tool,Multiple links for Bio,https://www.f6s.com/company/lin.kz,https://www.f6s.com/content-resource/profiles/2740096_th2.jpg,"Astana, Kazakhstan",2021,,,,Дархан,1,
Darmen-Arkabay,Gasification of settlements.,https://www.f6s.com/company/darmen-arkabay,https://www.f6s.com/content-resource/profiles/3025655_th2.jpg,"Almaty, Kazakhstan",,,Activat,1,,0,"Provider of gasification services in Almaty region, Kazakhstan. The company is currently operating in stealth mode. ​"
MOSHO,Video creatives for Mobile games and explainer videos for brands,https://www.f6s.com/company/mosho.io,https://www.f6s.com/content-resource/profiles/3321687_th2.jpg,"Almaty, Kazakhstan",2023,,,,Nursultan,1,
ULTRAFUSION CLUB,Create or join fair pay businesses. No salary slavery.,https://www.f6s.com/company/ultrafusion-club,https://www.f6s.com/content-resource/profiles/6347144_71efc92b4a678d297607018bc411949ddf7330b5_th2.jpg,"Almaty, Kazakhstan",2025,,,,,0,"ULTRAFUSION is a platform for people who are looking for non-wage work opportunities. We help people meet talented peers, create fair businesses together, and manage them all in one place. Unique elements of our platform: 1) Talent community. We have a ranked membership; each rank depends on your competencies and gives you more access. Top talent is selected via our seasonal competitions. You can find new friends, hunt for elite talent, demonstrate your skills and look for clients. 2) Business creation. You can create your own non-wage work based business such as: a worker co-operative, ..."
AI Crew Connect,50% BOOST IN LEAD TO DEMO PRODUCTIVITY,https://www.f6s.com/company/salesflow-team,https://www.f6s.com/content-resource/profiles/5563136_720bd61c8ede809e00f9b47c2711da01ed5da644_th2.jpg,"Astana, Kazakhstan",2024,,,,"Dias, Nikolay",2,"SalesFlow.team is an AI-powered SaaS platform designed to revolutionize the sales and marketing automation process for small and medium-sized businesses (SMBs) and freelancers. The platform's core objective is to streamline customer relationship management (CRM) tasks by automating lead nurturing, follow-ups, and sales processes through AI-driven multi-agent systems. This helps businesses scale their sales and marketing efforts with minimal manual intervention, resulting in more efficient communication and optimized lead conversion rates. The vision behind SalesFlow.team is to enable SMBs and..."
DAG-JIM,Effective full-body workout on a smart dynamic platform.,https://www.f6s.com/company/dag-jim,https://www.f6s.com/content-resource/profiles/5575774_5ae92bd35d11e6758415d47ddeb591d0bdd6c2e3_th2.jpg,"Almaty, Kazakhstan",2024,$100,Yerlan Kondybayev,1,"Yerlan, Sanzhar",2,"The innovative DAG-JIM platform is designed to elevate full-body workouts by incorporating dynamic movements that engage all muscle groups. Through controlled instability, DAG-JIM challenges the body, enhancing core strength, balance, and flexibility.By using this dynamic platform, users can experience a more effective workout, targeting muscles in ways that traditional equipment cannot. This isn't just another fitness tool – it's a new era of training, pushing the boundaries of strength, coordination, and body control, offering a holistic approach to fitness. Advantages of DAG-JIM: Unique ..."
Respo,Respo is a research company based in Central Asia,https://www.f6s.com/company/respo,https://www.f6s.com/content-resource/profiles/6288744_869db733d79e09d244d05e59f3baffdfa87a8f48_th2.jpg,"Astana, Kazakhstan",2023,,,,Stepan,1,"Respo is a research agency based in Kazakhstan, specializing in culturally sensitive analytics and innovative research methodologies for Central Asia and the CIS region. Recognizing the growing role of digital communications in society, Respo has expanded its expertise to analyze how businesses engage with their audiences through technology-driven channels.Its current project, PushControl, was launched to monitor, analyze, and assess the effectiveness of push notifications in constantly evolving digital environments, including social media and E-commerce platforms. PushControl integrates adva..."
Green Technology Centre,"Specialist in RES sector, owner of InTech-Forecast AI-driven forecast",https://www.f6s.com/company/green-technology-centre,https://www.f6s.com/content-resource/profiles/5820222_73cf6443b81136baa7e8d952491c079ac4544f48_th2.jpg,"Almaty, Kazakhstan",2020,,,,"Aruzhan, Assemzhan",2,"InTech-Forecast is an AI-driven renewable energy forecasting platform that optimizes the generation, integration, and management of solar, wind, and hydropower. Developed by Green Technology Centre, it is the first system of its kind in Central Asia, delivering high-accuracy predictions that reduce energy imbalances, enhance grid stability, and support large-scale renewable adoption. By leveraging machine learning, meteorological data, satellite imagery, and historical energy production trends, InTech-Forecast provides day-ahead predictions with hourly breakdowns, ensuring power producers and..."
